Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
58,1,0.21,0.05,0.21,0.27
58,8,0.2,-0.01,0.21,0.27
58,5,0.13,-0.02,0.2,0.17
59,9,0.37,0.19,0.32,0.47
60,9,0.32,0.17,0.29,0.37
60,6,0.25,0.13,0.23,0.35
60,0,0.25,0.12,0.23,0.3
60,4,0.25,0.1,0.19,0.3
60,3,0.23,0.09,0.17,0.3
60,7,0.18,0.05,0.17,0.3
60,2,0.13,0.05,0.17,0.23
60,8,0.13,0.04,0.16,0.23
60,5,0.12,0.04,0.16,0.19
60,1,0.12,0.02,0.11,0.17
61,9,0.36,0.18,0.34,0.46
61,6,0.33,0.18,0.31,0.46
61,0,0.3,0.17,0.31,0.38
61,4,0.3,0.13,0.3,0.38
61,3,0.25,0.12,0.3,0.38
61,7,0.24,0.09,0.3,0.38
61,2,0.21,0.09,0.3,0.37
61,1,0.21,0.08,0.23,0.28
61,5,0.19,0.07,0.23,0.27
61,8,0.18,0.05,0.21,0.27
62,9,0.35,0.16,0.33,0.44
62,4,0.31,0.16,0.29,0.44
62,6,0.28,0.16,0.29,0.42
63,2,0.29,0.37,0.36,0.43
63,9,0.29,0.31,0.35,0.43
63,3,0.29,0.3,0.31,0.43
63,4,0.27,0.3,0.3,0.43
64,4,0.21,0.23,0.24,0.3
64,9,0.21,0.23,0.22,0.3
64,3,0.18,0.23,0.22,0.25
64,7,0.15,0.19,0.22,0.23
65,9,0.39,0.28,0.38,0.49
65,2,0.37,0.24,0.38,0.49
65,3,0.37,0.23,0.33,0.49
65,4,0.36,0.23,0.32,0.49
65,1,0.35,0.23,0.32,0.4
65,0,0.35,0.19,0.3,0.4
65,7,0.32,0.14,0.29,0.4
65,6,0.32,0.13,0.29,0.36
65,8,0.21,0.13,0.29,0.3
65,5,0.19,0.13,0.29,0.25
66,9,0.31,0.35,0.39,0.37
66,4,0.26,0.34,0.39,0.37
66,6,0.26,0.34,0.39,0.32
66,2,0.25,0.34,0.39,0.31
66,0,0.25,0.34,0.32,0.28
66,1,0.25,0.34,0.29,0.26
66,3,0.25,0.33,0.29,0.25
66,7,0.2,0.26,0.29,0.25
66,5,0.18,0.24,0.27,0.25
66,8,0.12,0.24,0.26,0.25
67,2,0.25,0.28,0.33,0.36
67,9,0.25,0.27,0.28,0.36
67,3,0.21,0.24,0.23,0.36
67,4,0.2,0.24,0.23,0.36
67,0,0.2,0.19,0.21,0.34
67,6,0.18,0.17,0.21,0.34
67,8,0.17,0.17,0.21,0.32
67,1,0.16,0.17,0.21,0.29
67,7,0.14,0.17,0.21,0.28
67,5,0.11,0.12,0.19,0.14
68,2,0.29,0.25,0.32,0.43
68,9,0.29,0.15,0.27,0.43
68,4,0.29,0.14,0.25,0.43
69,2,0.31,0.39,0.36,0.44
69,9,0.31,0.31,0.34,0.44
69,4,0.25,0.25,0.27,0.44
69,6,0.24,0.25,0.27,0.37
69,0,0.22,0.25,0.24,0.37
69,3,0.21,0.22,0.24,0.37
69,5,0.2,0.19,0.23,0.35
69,7,0.17,0.19,0.22,0.35
69,8,0.15,0.19,0.18,0.27
69,1,0.13,0.19,0.17,0.27
70,6,0.32,0.32,0.32,0.52
70,0,0.29,0.19,0.31,0.44
70,9,0.29,0.18,0.25,0.41
70,4,0.24,0.15,0.21,0.41
70,3,0.21,0.13,0.21,0.39
70,1,0.19,0.11,0.21,0.39
70,7,0.17,0.07,0.2,0.39
70,5,0.17,0.06,0.2,0.33
70,8,0.17,0.04,0.2,0.3
70,2,0.13,0.04,0.2,0.29
71,9,0.16,0.22,0.17,0.37
71,3,0.11,0.22,0.16,0.37
71,4,0.11,0.22,0.16,0.37
73,9,0.2,0.25,0.3,0.41
73,2,0.18,0.25,0.3,0.36
73,4,0.18,0.24,0.24,0.36
73,7,0.18,0.23,0.24,0.32
73,3,0.18,0.22,0.24,0.32
73,8,0.15,0.21,0.24,0.32
73,5,0.12,0.21,0.24,0.3
73,1,0.12,0.2,0.19,0.3
73,6,0.12,0.16,0.19,0.3
73,0,0.11,0.16,0.16,0.27
74,9,0.33,0.32,0.32,0.39
74,4,0.33,0.29,0.3,0.38
74,6,0.33,0.28,0.3,0.38
74,3,0.3,0.28,0.3,0.34
74,0,0.28,0.28,0.3,0.33
74,2,0.22,0.25,0.3,0.33
74,7,0.22,0.23,0.24,0.31
74,1,0.18,0.23,0.24,0.26
74,5,0.13,0.14,0.2,0.24
74,8,0.13,0.11,0.15,0.24
75,6,0.25,0.13,0.26,0.33
75,2,0.25,0.13,0.26,0.3
75,9,0.25,0.1,0.21,0.3
75,0,0.23,0.1,0.19,0.3
75,4,0.22,0.09,0.16,0.3
75,7,0.2,0.09,0.16,0.3
75,1,0.2,0.04,0.16,0.28
75,3,0.18,0.04,0.16,0.28
75,5,0.14,0.01,0.16,0.27
75,8,0.14,0.01,0.11,0.27
76,9,0.3,0.14,0.33,0.34
76,4,0.26,0.14,0.32,0.34
76,6,0.26,0.13,0.32,0.31
76,0,0.24,0.12,0.32,0.31
76,3,0.23,0.12,0.32,0.31
76,2,0.21,0.12,0.32,0.31
76,7,0.21,0.12,0.26,0.31
76,1,0.19,0.11,0.25,0.25
76,8,0.18,0.06,0.25,0.23
76,5,0.16,0.06,0.25,0.21
77,2,0.32,0.29,0.31,0.42
77,9,0.32,0.25,0.2,0.42
77,0,0.25,0.25,0.19,0.42
77,4,0.25,0.25,0.17,0.42
77,6,0.25,0.24,0.15,0.4
77,3,0.23,0.24,0.14,0.39
77,7,0.2,0.23,0.14,0.39
77,1,0.16,0.23,0.14,0.32
77,8,0.14,0.16,0.14,0.32
77,5,0.1,0.16,0.12,0.18
78,3,0.18,0.2,0.19,0.37
78,4,0.17,0.2,0.19,0.37
78,9,0.16,0.19,0.19,0.32
79,9,0.19,0.23,0.28,0.35
79,3,0.16,0.23,0.28,0.34
79,4,0.15,0.23,0.28,0.33
79,6,0.15,0.2,0.28,0.31
79,2,0.12,0.2,0.28,0.31
79,0,0.12,0.19,0.21,0.31
80,4,0.18,0.26,0.24,0.32
80,9,0.16,0.25,0.24,0.31
80,3,0.15,0.25,0.23,0.31
81,9,0.35,0.22,0.26,0.37
83,6,0.26,0.14,0.28,0.35
83,4,0.25,0.14,0.28,0.29
83,0,0.25,0.12,0.28,0.28
83,9,0.23,0.12,0.28,0.27
83,3,0.23,0.08,0.27,0.23
83,2,0.2,0.08,0.27,0.2
83,1,0.15,0.08,0.19,0.2
83,7,0.15,0.03,0.16,0.2
83,5,0.14,-0.01,0.15,0.19
83,8,0.09,-0.04,0.15,0.19
84,9,0.29,0.21,0.33,0.36
84,2,0.29,0.19,0.31,0.36
84,4,0.29,0.17,0.25,0.36
84,0,0.29,0.16,0.23,0.31
84,3,0.29,0.14,0.23,0.31
84,6,0.23,0.13,0.23,0.31
84,7,0.2,0.13,0.19,0.26
84,1,0.17,0.13,0.19,0.25
84,5,0.15,0.07,0.19,0.25
84,8,0.13,0.07,0.19,0.25
85,9,0.3,0.26,0.21,0.54
85,3,0.23,0.26,0.18,0.54
85,4,0.22,0.26,0.18,0.53
85,2,0.18,0.26,0.18,0.52
85,7,0.18,0.19,0.15,0.52
85,0,0.18,0.16,0.15,0.43
85,6,0.18,0.15,0.15,0.43
85,8,0.15,0.15,0.15,0.41
85,1,0.11,0.15,0.12,0.39
85,5,0.08,0.11,0.12,0.3
86,4,0.29,0.33,0.3,0.37
86,9,0.25,0.33,0.3,0.37
86,3,0.24,0.33,0.3,0.32
86,7,0.2,0.28,0.3,0.32
86,2,0.19,0.28,0.3,0.29
89,9,0.24,0.32,0.26,0.42
89,0,0.23,0.32,0.24,0.39
89,4,0.22,0.32,0.24,0.39
89,6,0.21,0.32,0.22,0.38
89,8,0.21,0.32,0.21,0.36
89,5,0.21,0.29,0.2,0.36
90,9,0.37,0.23,0.31,0.45
90,6,0.36,0.23,0.3,0.45
90,3,0.36,0.21,0.29,0.45
90,4,0.34,0.21,0.29,0.45
90,0,0.28,0.2,0.26,0.42
90,7,0.25,0.17,0.23,0.38
90,1,0.23,0.17,0.23,0.31
90,2,0.19,0.12,0.23,0.31
90,5,0.18,0.12,0.22,0.28
90,8,0.16,0.06,0.18,0.27
92,2,0.18,0.29,0.26,0.21
92,9,0.18,0.28,0.2,0.21
92,4,0.15,0.25,0.17,0.21
92,3,0.12,0.23,0.17,0.17
92,0,0.1,0.23,0.17,0.16
92,6,0.09,0.21,0.16,0.16
92,7,0.07,0.21,0.14,0.14
92,1,0.07,0.21,0.13,0.13
92,5,0.07,0.18,0.13,0.08
92,8,0.03,0.18,0.13,0.04
93,2,0.27,0.24,0.32,0.35
93,9,0.27,0.24,0.31,0.34
93,3,0.26,0.24,0.27,0.34
93,0,0.23,0.24,0.27,0.33
93,4,0.23,0.24,0.24,0.33
93,7,0.23,0.24,0.24,0.33
93,6,0.2,0.19,0.24,0.33
93,1,0.15,0.18,0.23,0.2
93,5,0.15,0.12,0.23,0.2
93,8,0.15,0.12,0.21,0.2
94,3,0.38,0.38,0.38,0.39
94,7,0.36,0.34,0.35,0.39
94,0,0.34,0.34,0.35,0.39
94,9,0.34,0.34,0.33,0.39
94,4,0.31,0.34,0.33,0.38
94,1,0.3,0.34,0.33,0.33
94,8,0.3,0.25,0.31,0.32
94,5,0.3,0.24,0.31,0.31
94,6,0.3,0.23,0.3,0.31
94,2,0.28,0.15,0.3,0.31
95,9,0.3,0.3,0.38,0.54
95,2,0.24,0.3,0.38,0.46
95,4,0.24,0.22,0.32,0.46
95,3,0.24,0.22,0.31,0.42
95,0,0.18,0.22,0.3,0.42
95,1,0.17,0.17,0.26,0.42
95,6,0.17,0.13,0.26,0.42
95,7,0.15,0.13,0.25,0.36
95,8,0.13,0.09,0.25,0.33
95,5,0.12,0.09,0.25,0.22
96,2,0.12,0.23,0.24,0.3
96,9,0.12,0.18,0.19,0.3
98,5,0.26,0.39,0.32,0.32
100,2,0.22,0.32,0.32,0.32
100,9,0.22,0.31,0.3,0.32
100,4,0.16,0.27,0.26,0.32
100,3,0.16,0.24,0.26,0.3
100,6,0.15,0.21,0.26,0.28
100,0,0.12,0.21,0.22,0.24
102,9,0.26,0.15,0.37,0.35
103,9,0.29,0.15,0.26,0.35
104,9,0.32,0.23,0.38,0.43
104,4,0.27,0.22,0.35,0.41
104,2,0.26,0.22,0.35,0.39
104,3,0.26,0.21,0.31,0.39
104,6,0.26,0.21,0.31,0.39
104,0,0.23,0.16,0.28,0.39
104,5,0.21,0.13,0.28,0.39
104,8,0.21,0.1,0.25,0.39
104,7,0.18,0.1,0.23,0.39
104,1,0.15,0.1,0.18,0.26
105,9,0.27,0.24,0.35,0.4
105,3,0.26,0.24,0.32,0.4
105,4,0.25,0.21,0.31,0.4
107,9,0.26,0.08,0.31,0.37
107,3,0.26,0.07,0.27,0.37
109,4,0.23,0.14,0.13,0.42
111,4,0.23,0.31,0.31,0.32
111,9,0.23,0.31,0.31,0.32
111,7,0.2,0.31,0.31,0.3
111,3,0.2,0.21,0.31,0.27
111,2,0.2,0.19,0.31,0.26
112,4,0.29,0.24,0.26,0.46
112,3,0.27,0.24,0.26,0.43
112,0,0.26,0.24,0.26,0.41
112,7,0.24,0.24,0.26,0.41
112,9,0.24,0.24,0.26,0.39
112,6,0.21,0.24,0.26,0.35
112,1,0.2,0.22,0.26,0.35
112,2,0.12,0.17,0.26,0.35
112,5,0.12,0.09,0.13,0.22
112,8,0.12,0.07,0.09,0.18
113,9,0.3,0.26,0.35,0.39
113,4,0.3,0.26,0.32,0.37
113,2,0.3,0.26,0.31,0.33
113,0,0.3,0.21,0.3,0.33
113,3,0.28,0.21,0.3,0.33
113,1,0.23,0.21,0.29,0.32
113,6,0.23,0.19,0.29,0.32
113,7,0.2,0.11,0.24,0.28
113,5,0.18,0.11,0.23,0.24
113,8,0.15,0.08,0.19,0.24
114,9,0.36,0.34,0.4,0.44
114,6,0.35,0.34,0.38,0.44
114,0,0.32,0.34,0.37,0.43
114,3,0.32,0.29,0.37,0.42
114,4,0.32,0.29,0.37,0.42
114,7,0.25,0.26,0.37,0.4
114,2,0.2,0.26,0.37,0.34
114,1,0.19,0.21,0.26,0.29
114,5,0.17,0.15,0.25,0.29
114,8,0.17,0.11,0.21,0.2
116,9,0.36,0.53,0.33,0.4
116,3,0.36,0.53,0.32,0.38
116,7,0.35,0.53,0.32,0.38
116,1,0.3,0.48,0.32,0.38
117,3,0.35,0.33,0.38,0.53
117,9,0.33,0.31,0.33,0.53
117,7,0.28,0.31,0.3,0.49
117,4,0.27,0.29,0.3,0.49
