,Measure,Capec Id,MiniLM,ATTACK,GPT,Mpnet,Multilingual,Jaccard
0,T1485,Impact,0.44,0.49,0.86,0.53,0.59,0.12
0,T1485.001,Impact,0.38,0.41,0.79,0.32,0.44,0.14
0,T1132,Command and Control,0.46,0.36,0.86,0.6,0.57,0.14
0,T1132.002,Command and Control,0.48,0.36,0.85,0.61,0.57,0.17
0,T1132.001,Command and Control,0.44,0.33,0.86,0.54,0.53,0.16
0,T1486,Impact,0.39,0.41,0.84,0.43,0.62,0.11
0,T1565,Impact,0.75,0.69,0.91,0.72,0.8,0.17
0,T1565.003,Impact,0.65,0.6,0.9,0.57,0.75,0.17
0,T1565.001,Impact,0.63,0.65,0.9,0.71,0.67,0.16
0,T1565.002,Impact,0.69,0.67,0.9,0.73,0.78,0.17
0,T1001,Command and Control,0.73,0.47,0.92,0.7,0.72,0.12
0,T1001.001,Command and Control,0.6,0.5,0.86,0.61,0.54,0.1
0,T1001.003,Command and Control,0.58,0.59,0.87,0.63,0.63,0.14
0,T1001.002,Command and Control,0.62,0.46,0.88,0.59,0.56,0.18
0,T1074,Collection,0.52,0.53,0.87,0.49,0.61,0.13
0,T1074.001,Collection,0.59,0.55,0.88,0.61,0.6,0.13
0,T1074.002,Collection,0.49,0.53,0.87,0.5,0.56,0.14
0,T1030,Exfiltration,0.63,0.71,0.9,0.54,0.75,0.14
0,T1530,Collection,0.37,0.47,0.85,0.34,0.44,0.08
0,T1602,Collection,0.53,0.49,0.86,0.42,0.64,0.11
0,T1602.002,Collection,0.4,0.22,0.82,0.31,0.49,0.14
0,T1602.001,Collection,0.39,0.25,0.82,0.38,0.57,0.11
0,T1213,Collection,0.55,0.58,0.84,0.5,0.65,0.1
0,T1213.003,Collection,0.43,0.43,0.85,0.36,0.55,0.09
0,T1213.001,Collection,0.32,0.46,0.82,0.39,0.44,0.06
0,T1213.004,Collection,0.45,0.52,0.83,0.41,0.64,0.11
0,T1213.005,Collection,0.53,0.46,0.83,0.38,0.63,0.13
0,T1213.002,Collection,0.54,0.46,0.85,0.4,0.63,0.11
0,T1005,Collection,0.43,0.5,0.88,0.49,0.61,0.12
0,T1039,Collection,0.49,0.47,0.88,0.48,0.6,0.15
0,T1025,Collection,0.55,0.49,0.88,0.51,0.62,0.13
0,T1622,Defense Evasion,0.54,0.46,0.87,0.47,0.67,0.1
0,T1622,Discovery,0.44,0.27,0.84,0.44,0.52,0.11
0,T1491,Impact,0.51,0.51,0.86,0.52,0.61,0.14
0,T1491.002,Impact,0.55,0.52,0.85,0.58,0.73,0.11
0,T1491.001,Impact,0.51,0.53,0.86,0.54,0.7,0.13
0,T1140,Defense Evasion,0.61,0.48,0.85,0.55,0.75,0.08
0,T1610,Defense Evasion,0.49,0.14,0.82,0.32,0.6,0.07
0,T1610,Execution,0.42,0.17,0.84,0.39,0.65,0.12
0,T1587,Resource Development,0.65,0.63,0.9,0.66,0.67,0.2
0,T1587.002,Resource Development,0.33,0.31,0.8,0.39,0.32,0.19
0,T1587.003,Resource Development,0.3,0.36,0.81,0.33,0.35,0.16
0,T1587.004,Resource Development,0.58,0.59,0.86,0.6,0.66,0.15
0,T1587.001,Resource Development,0.59,0.63,0.87,0.58,0.54,0.14
0,T1652,Discovery,0.47,0.31,0.83,0.53,0.49,0.07
0,T1006,Defense Evasion,0.43,0.09,0.81,0.27,0.31,0.08
